image,output,flag,username,timestamp
/Users/dmitrijtiskin/Projects/mnist/flagged/image/1b1329044b6ec985171fa4d4b54d1243c857040a/tmp4kdkv1oc.png,Предсказано: 5,,,2025-06-04 23:51:30.143080
/Users/dmitrijtiskin/Projects/mnist/flagged/image/f6a7a250f70fb31e37111c3e85af5a9d999b55ae/tmpxhfo0vou.png,Предсказано: 9,,,2025-06-04 23:56:09.892053
